feature,summary,sample,x,y,sample_text
0,"Time (various contexts: applications, music, literature, science fiction, contracts, series)","""In Time is a backup application for Linux.""",11.237459,1.2576877,In Time is a backup application for Linux.
1,"Historical Figures, Performances/Events, Organizational Activities","""From 1985 to 1990 he was ambassador in Beijing.""",11.902051,2.4476326,From 1985 to 1990 he was ambassador in Beijing.
2,Counties in U.S. states,"""Colorado County is a county located in the U.S. state of Texas.""",6.945559,8.495001,Colorado County is a county located in the U.S. state of Texas.
3,Names and Locations,"""William C. Dietz would write the next book, entitled Halo: The Flood.""",8.58175,8.101246,"William C. Dietz would write the next book, entitled Halo: The Flood."
4,"""Television Show Details""","""The show was seen on NBC.""",11.160556,0.27231863,The show was seen on NBC.
5,Graffiti and Public Art,"""Grafedia written on public buildings and structures is likely to be illegal and considered vandalism.""",10.338774,1.4742359,Grafedia written on public buildings and structures is likely to be illegal and considered vandalism.
6,"Buddhism, Meditation, Integration","""Buddhists are also present.""",10.393954,9.0521,Buddhists are also present.
7,Finland-Related Events and Information,"""Finland has two official languages, Finnish and Swedish.""",9.131378,8.380569,"Finland has two official languages, Finnish and Swedish."
8,"Achievements and Careers, 2016-2017, Post-2016 Events","""He won 2016 Asian qualification tournament and qualified to 2016 Olympic Games.""",12.6576395,-0.24208738,He won 2016 Asian qualification tournament and qualified to 2016 Olympic Games.
9,Competition Winners,"""The final was won by Tommy Green of Great Britain.""",13.29229,2.5853608,The final was won by Tommy Green of Great Britain.
10,United States Connection,"""The breed is not widely owned in the United States.""",11.656394,4.3241696,The breed is not widely owned in the United States.
11,"Medical Procedures, Solutions, Tests","""Blood levels may be measured to determine the correct dose.""",9.047366,3.0749614,Blood levels may be measured to determine the correct dose.
12,"Employee Count, Titles/Roles, Geographical Locations, Art/Entertainment, Organizations (Real/Fictional)","""Probitas currently has approximately 50 employees.""",10.557597,3.7411883,Probitas currently has approximately 50 employees.
13,"Struggles, Fights, Conflicts","""He fought against the Pakistan Army during the Bangladesh War of Liberation.""",11.0738,3.4294538,He fought against the Pakistan Army during the Bangladesh War of Liberation.
14,"Heights and Tallness, Buildings, and Performances","""Tall Dwarfs released in 1986.""",7.0512514,2.9258835,Tall Dwarfs released in 1986.
15,"Novels and Their Adaptations, Translations, and Popularity","""A 1983 BBC television series was based on the novel.""",10.081919,0.42617616,A 1983 BBC television series was based on the novel.
16,"Rescue Operations, Safety, Diverse Subjects","""After rescue symptoms may include breathing problems, vomiting, confusion, or unconsciousness.""",10.226898,3.4778042,"After rescue symptoms may include breathing problems, vomiting, confusion, or unconsciousness."
17,"Court Decisions and Overturns, Legal Rulings, Judicial Proceedings","""The US Federal Court of Appeals granted the injunction.""",10.76275,3.217816,The US Federal Court of Appeals granted the injunction.
18,Club history and affiliations,"""The club color is white.""",13.49086,4.3264446,The club color is white.
19,Moths of the family Erebidae,"""Eressa discinota is a moth of the family Erebidae.""",7.618139,6.80237,Eressa discinota is a moth of the family Erebidae.
20,Religious or Spiritual Themes,"""The Miracles recorded in 1963.""",10.893948,5.523485,The Miracles recorded in 1963.
21,"Historical Figures, Abraham-Related Names, Literary Characters","""It is named after Rabbi Abraham Zacuto.""",11.246872,6.054137,It is named after Rabbi Abraham Zacuto.
22,Documents and Records,"""His papers are held by Queen Mary Archives.""",9.979033,0.8054352,His papers are held by Queen Mary Archives.
23,Neutrality in Contexts,"""Neutral is the seventh solo album by Matthew Good.""",9.549739,3.21228,Neutral is the seventh solo album by Matthew Good.
24,"Individuals associated with military, acting, or leadership roles","""He also received valuable guidance from Pt.""",11.575798,4.469988,He also received valuable guidance from Pt.
25,"Year-specific events or entities, 1971-2009, across various fields: media, music, film, business, sports, politics.","""Selectors in 1971 included the Associated Press (AP).""",12.742351,1.0112402,Selectors in 1971 included the Associated Press (AP).
26,"Voter Turnout Rates, Celestial Descriptions, Textile or Yarn Quality","""Voter turnout was 89.3%.""",14.188382,2.1621804,Voter turnout was 89.3%.
27,"People, Places, Connections (or Alternatively: Names, Locations, Associations)","""Tim Sullivan is an American sports writer.""",10.391191,7.307411,Tim Sullivan is an American sports writer.
28,"Individuals, Signing Contracts, Teams/Labels (Joining)","""He signed with Kidsgrove Athletic in October 2014.""",13.12441,3.699472,He signed with Kidsgrove Athletic in October 2014.
29,"Characters, Origins, Associations, Developments","""Night Ferry is Michael Robotham's third novel.""",10.064419,8.24267,Night Ferry is Michael Robotham's third novel.
30,Buildings and Structures Construction Years,"""The mosque was constructed between 1953 and 1958.""",11.807074,1.3539257,The mosque was constructed between 1953 and 1958.
31,"Geographical Entities, Namesakes, Linguistic and Technological Developments","""He lives in Aalst.""",11.273253,7.3528705,He lives in Aalst.
32,"U.S., Towns, Locations (or Geographical Places)","""Its county seat is Uniontown.""",7.161203,8.615619,Its county seat is Uniontown.
33,"Names, Locations, and Associations (or Titles, Places, and Entities)","""Teleme is an American semi-soft cheese originating from the San Francisco Bay Area in California.""",11.203152,7.5608172,Teleme is an American semi-soft cheese originating from the San Francisco Bay Area in California.
34,"People, Places, and Things (with some exceptions for events and animals)","""Moir now coaches in Copenhagen, Denmark.""",10.161558,8.273953,"Moir now coaches in Copenhagen, Denmark."
35,"Personal Autonomy, Desire, Mystery","""No one was telling us what to do.""",8.953939,1.2647942,No one was telling us what to do.
36,Geographical or Cultural Origins,"""Previously he had taught at the University of Padua.""",8.794018,7.064998,Previously he had taught at the University of Padua.
37,"Sports Team Debuts, Seasons, and Returns","""The MTN Golden Lions won the 2011 Currie Cup Premier Division.""",13.54952,4.1169043,The MTN Golden Lions won the 2011 Currie Cup Premier Division.
38,"Districts (Historic, Residential, etc.), National Register (Listed, Added), Locations (Cities, Towns)","""It is part of the Hills District.""",5.650815,3.9945102,It is part of the Hills District.
39,"Documentaries, Filmmakers, Awards","""The documentary was directed by Orlando Bagwell.""",10.635704,-0.043293513,The documentary was directed by Orlando Bagwell.
40,Military Forces or Security Units,"""It is an absolute tour de force.""",10.229496,5.1687613,It is an absolute tour de force.
41,Genes encoding Human Proteins,"""Melanoma-associated antigen 12 is a protein that in humans is encoded by the MAGEA12 gene.""",8.378588,4.3238354,Melanoma-associated antigen 12 is a protein that in humans is encoded by the MAGEA12 gene.
42,"Individuals, Skills, Art/Sports","""He claims no extrasensory powers.""",11.625792,2.573455,He claims no extrasensory powers.
43,"Integrated Features, Technological Advancements, Application Functions","""On Windows XP, it also integrates with Windows Messenger.""",8.549481,2.71185,"On Windows XP, it also integrates with Windows Messenger."
44,"Plot Development or Storyline, Characters and Settings, Real-life Inspiration or Inspirations","""This version follows the plot of the movie.""",9.676235,0.5136475,This version follows the plot of the movie.
45,"Geographic Locations, Technologies, Mythology/Stories, Biological Entities","""The transmitter site for the station is in Apex.""",10.453178,5.06341,The transmitter site for the station is in Apex.
46,"Individuals, Walls, Locations","""Wall is the youngest of eleven children.""",6.9698887,7.354513,Wall is the youngest of eleven children.
47,Mississippi Locations and Events,"""Lamar County is a county located in the U.S. state of Mississippi.""",12.479687,8.417372,Lamar County is a county located in the U.S. state of Mississippi.
48,"Companies and Brands, Art and Design, Media and Entertainment","""Gamsole is an African based mobile game production company.""",9.581475,4.4374614,Gamsole is an African based mobile game production company.
49,"Entities or Descriptions, Separated Topics","""It is a 4 cylinder.""",8.633413,1.6959916,It is a 4 cylinder.
50,Circuit-related topics,"""This is different from many other circuit-style approaches.""",8.988727,4.3706646,This is different from many other circuit-style approaches.
51,"Soap Operas, Soap, Soap-Related","""She was a featured character in the daytime soap.""",10.635661,-0.08039149,She was a featured character in the daytime soap.
52,"Historic Buildings, Listed Grades, Architectural Significance","""It is an historical Grade II* listed building.""",7.5717583,1.6514817,It is an historical Grade II* listed building.
53,"Historical Entities, Educational Programs, Cultural Figures","""Accolade recorded one album in 1969.""",11.424965,7.237144,Accolade recorded one album in 1969.
54,"Sports Teams, Music Bands, Pop Culture References","""The Bandits played their home games at the Foster Communications Coliseum.""",9.4003315,5.610059,The Bandits played their home games at the Foster Communications Coliseum.
55,"Organizational Entities (Societies, Associations)","""The Society was founded in 2009.""",9.937567,3.6955466,The Society was founded in 2009.
56,"Minor leagues, minor sports, minor parties","""He continued to play in the minor leagues through 1888.""",7.4139066,2.9025395,He continued to play in the minor leagues through 1888.
57,"Beginnings and Starts, Journeys, Initiations","""It starts with Saturn and finishes with Romulus.""",11.79803,0.8328885,It starts with Saturn and finishes with Romulus.
58,"Practice, Theory, Professions","""Critical practice is grounded in the concepts of critical theory.""",10.1567135,3.9012427,Critical practice is grounded in the concepts of critical theory.
59,"Individuals, Actions, Impact","""He gave every player on the field a bonus.""",11.400334,2.4632723,He gave every player on the field a bonus.
60,"Multinational Expansion, Geographical Distribution, Global Presence","""It has operations in California, Arizona and Mexico.""",7.541678,3.599503,"It has operations in California, Arizona and Mexico."
61,"Events, Titles, and Statuses","""The nickname stuck.""",8.94032,1.3314273,The nickname stuck.
62,"Entities Named ""Blink"" or ""Blink-related""","""Blink-182, released September 27, 2011 through DGC Records and Interscope Records.""",12.5154505,0.42536622,"Blink-182, released September 27, 2011 through DGC Records and Interscope Records."
63,"Start/Begin, Since [Year], [Activity]","""He has directed 15 films since 1989.""",12.451576,1.0995501,He has directed 15 films since 1989.
64,"Coral Reefs, Marine Life, Environmental Degradation","""Most varieties are coral red or sulfur yellow.""",9.526777,6.188164,Most varieties are coral red or sulfur yellow.
65,"Individuals, Brands, Species (and Locations)","""This can be mimicked by a mimotope.""",12.399811,7.9803147,This can be mimicked by a mimotope.
66,"Departments, Government Bodies, Educational Units","""The department was discontinued in 1911.""",11.7592945,3.6699862,The department was discontinued in 1911.
67,Production Quantities (or number of items produced),"""Over 5,427 cabinets were produced.""",7.945723,1.151801,"Over 5,427 cabinets were produced."
68,"Lower, Smaller, Decreasing","""The situation in the area of lower pressure could be opposite.""",7.4624157,2.978493,The situation in the area of lower pressure could be opposite.
69,"Products, Brands, Consumption","""It sells products in over 60 countries.""",9.399773,3.7246666,It sells products in over 60 countries.
70,Media Characters and Performances,"""Bailey played Dad Rudd in the original production.""",10.052164,0.3532938,Bailey played Dad Rudd in the original production.
71,"""Numbered Entities"" or ""Numerical References"" or ""First Instances""","""State Highway 1 passes through the area.""",10.985713,0.08848519,State Highway 1 passes through the area.
72,"Cities, Individuals, and Entities (places, schools, people, books, characters, etc.)","""Garvin is a city in Lyon County, Minnesota, United States.""",12.663012,6.6167197,"Garvin is a city in Lyon County, Minnesota, United States."
73,Music composition in films,"""The music was composed by Bappi Lahiri.""",9.658776,-0.34371984,The music was composed by Bappi Lahiri.
74,"Services various cities, Unspecified operations, Diverse entities (e.g., deity, TV network, animal)","""It serves Baramati city.""",8.170676,2.4033637,It serves Baramati city.
75,"Head, Neck, Skull","""They are relatively rare on the head and neck.""",9.653656,4.489992,They are relatively rare on the head and neck.
76,"Trains, Operations, Schedules","""It is currently being operated with 59421/59422 train numbers on daily basis.""",6.396928,4.6487055,It is currently being operated with 59421/59422 train numbers on daily basis.
77,"Adults, Various Species, Descriptions","""Adults are pale brown.""",8.715685,-0.019003578,Adults are pale brown.
78,"Roots, Music, Origin","""The band played rockabilly/roots in concert series at various universities.""",10.705197,6.609891,The band played rockabilly/roots in concert series at various universities.
79,"Human Suffering, Cultural Identity, Diversity","""I feel deep compassion for them and their families.""",8.816828,1.5456849,I feel deep compassion for them and their families.
80,"Individuals, Artifacts, Organizations (or Entities)","""Funshion is a Chinese peer-to-peer streaming video network software and website.""",10.106569,5.2014446,Funshion is a Chinese peer-to-peer streaming video network software and website.
81,Higher Education Experiences,"""He did his undergraduate studies at Christ College.""",12.299834,3.5595732,He did his undergraduate studies at Christ College.
82,Locations and Individuals (geographical entities and people),"""It is located in Madera County.""",11.924538,8.125837,It is located in Madera County.
83,Cannes Film Festival Participation,"""It was entered into the 1990 Cannes Film Festival.""",8.861902,6.267453,It was entered into the 1990 Cannes Film Festival.
84,"Numerical References, Time Frames, Various Subjects","""The terrain measures 140,000 square meters.""",7.1728826,1.1246884,"The terrain measures 140,000 square meters."
85,Glamorgan Individuals and Entities,"""He was born at Mumbles, Glamorgan.""",12.092706,8.450239,"He was born at Mumbles, Glamorgan."
86,Songs' Release Dates and Albums,"""It was released in July 1978 as the second single from his album Flyin' High.""",10.98028,-0.925816,It was released in July 1978 as the second single from his album Flyin' High.
87,"Geographical Locations, Titles, and Associations","""The San Francisco Women Artists Gallery is located in San Francisco's Sunset District.""",10.195168,6.194496,The San Francisco Women Artists Gallery is located in San Francisco's Sunset District.
88,Geographical Locations and Historical Figures,"""His previous positions include Vice President at Stockmann.""",9.613403,7.416702,His previous positions include Vice President at Stockmann.
89,"Freedom, Rights, Liberation","""His doctoral thesis looked at freedom in education.""",10.555207,4.4163785,His doctoral thesis looked at freedom in education.
